year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
23,19,10199,0140798,Los Angeles,Los Angeles County Office of Education,Bridges Preparatory Academy,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,CEP,Yes,2114,Directly funded,Y,6,8,118,100,2,0,2,0,71,103,31,105,Y,1,9,10,2,1,1,6,8,1,19101990140798
23,19,10199,0138669,Los Angeles,Los Angeles County Office of Education,Da Vinci RISE High,County Office of Education (COE),High Schools (Public),Traditional,,Yes,2017,Directly funded,Y,9,12,187,155,37,0,11,0,118,168,32,173,Y,1,7,10,,1,1,9,12,1,19101990138669
23,19,10199,0140681,Los Angeles,Los Angeles County Office of Education,Environmental Charter High - Gardena,County Office of Education (COE),High Schools (Public),Traditional,Provision 2,Yes,2098,Directly funded,Y,9,12,221,187,0,0,0,0,109,190,22,196,Y,1,7,10,5,1,1,9,12,1,19101990140681
23,19,10199,0121772,Los Angeles,Los Angeles County Office of Education,Environmental Charter Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,Provision 2,Yes,1204,Directly funded,Y,6,8,349,303,0,0,0,0,204,324,73,327,Y,1,9,10,5,1,1,6,8,1,19101990121772
23,19,10199,0127498,Los Angeles,Los Angeles County Office of Education,Environmental Charter Middle - Inglewood,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,Provision 2,Yes,1501,Directly funded,Y,6,8,358,298,0,0,0,0,182,325,63,332,Y,1,9,10,5,1,1,6,8,1,19101990127498
23,19,10199,0134346,Los Angeles,Los Angeles County Office of Education,Intellectual Virtues Academy,County Office of Education (COE),High Schools (Public),Traditional,,Yes,1814,Directly funded,Y,9,12,95,46,1,0,9,0,44,61,4,61,Y,1,7,10,,1,1,9,12,1,19101990134346
23,19,10199,0106880,Los Angeles,Los Angeles County Office of Education,Jardin de la Infancia,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,0663,Directly funded,Y,K,1,14,14,1,0,0,0,5,14,8,14,Y,1,6,10,,1,1,14,1,1,19101990106880
23,19,10199,0140772,Los Angeles,Los Angeles County Office of Education,KIPP Poder Public,County Office of Education (COE),Elementary Schools (Public),Traditional,CEP,Yes,2112,Directly funded,Y,K,8,158,121,2,0,3,0,79,122,50,127,Y,1,6,10,2,1,1,14,8,1,19101990140772
23,19,10199,0128025,Los Angeles,Los Angeles County Office of Education,Lashon Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,CEP,Yes,1560,Directly funded,Y,K,8,526,448,0,0,9,0,233,448,216,471,Y,1,6,10,2,1,1,14,8,1,19101990128025
23,19,10199,0139170,Los Angeles,Los Angeles County Office of Education,Lashon Academy City,County Office of Education (COE),Elementary Schools (Public),Traditional,CEP,Yes,2029,Directly funded,Y,K,6,72,69,0,0,0,0,39,69,40,71,Y,1,6,10,2,1,1,14,6,1,19101990139170
