year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
20,04,61424,0121475,Butte,Chico Unified,Sherwood Montessori,Unified School District,Elementary Schools (Public),Traditional,Not Participating,Yes,1166,Directly funded,Y,K,8,156,65,2,10,0,66,80,10,86,Y,1,6,10,,1,1,14,8,1,04614240121475
20,04,61424,0123810,Butte,Chico Unified,Wildflower Open Classroom,Unified School District,Elementary Schools (Public),Traditional,,Yes,1280,Directly funded,Y,K,8,174,20,1,0,0,37,45,2,46,Y,1,6,10,,1,1,14,8,1,04614240123810
20,04,61424,0137828,Butte,Chico Unified,Pivot Charter School North Valley II,Unified School District,K-12 Schools (Public),Traditional,,Yes,1982,Directly funded,Y,6,12,132,61,0,13,0,64,84,2,84,Y,1,12,10,,1,1,6,12,1,04614240137828
20,04,61424,6113773,Butte,Chico Unified,Chico Country Day,Unified School District,Elementary Schools (Public),Traditional,Not Participating,Yes,0112,Directly funded,Y,K,8,555,127,2,10,0,102,131,4,132,Y,1,6,10,,1,1,14,8,1,04614246113773
20,04,61424,6119523,Butte,Chico Unified,Blue Oak Charter,Unified School District,Elementary Schools (Public),Traditional,,Yes,0415,Directly funded,Y,K,8,319,176,4,5,1,150,182,9,189,Y,1,6,10,,1,1,14,8,1,04614246119523
20,04,61432,0000000,Butte,Durham Unified,,Unified School District,,,,,,,,,,1053,461,1,97,6,286,465,65,466,Y,,,,,,,,,1,04614320000000
20,04,61457,0000000,Butte,Golden Feather Union Elementary,,Elementary School District,,,,,,,,,,48,40,1,21,0,32,42,0,42,Y,,,,,,,,,1,04614570000000
20,04,61499,0000000,Butte,Manzanita Elementary,,Elementary School District,,,,,,,,,,296,149,0,6,2,94,153,50,164,Y,,,,,,,,,1,04614990000000
20,04,61507,0000000,Butte,Oroville City Elementary,,Elementary School District,,,,,,,,,,2381,1879,49,79,3,1490,1879,167,1891,Y,,,,,,,,,1,04615070000000
20,04,61507,0121509,Butte,Oroville City Elementary,Ipakanni Early College Charter,Elementary School District,K-12 Schools (Public),Traditional,,Yes,1170,Directly funded,Y,K,12,73,67,1,0,0,42,69,0,69,Y,1,12,10,,1,1,14,12,1,04615070121509
20,04,61507,0129577,Butte,Oroville City Elementary,STREAM Charter,Elementary School District,Elementary Schools (Public),Traditional,,Yes,1616,Directly funded,Y,K,8,285,88,0,0,0,75,105,6,105,Y,1,6,10,,1,1,14,8,1,04615070129577
20,04,61515,0000000,Butte,Oroville Union High,,High School District,,,,,,,,,,2237,1547,22,125,6,1142,1616,69,1632,Y,,,,,,,,,1,04615150000000
