year,district_code,district_name
23,68304,Ramona City Unified
23,68312,Rancho Santa Fe Elementary
23,64162,Ravendale-Termo Elementary
23,68999,Ravenswood City Elementary
23,65276,Raymond-Knowles Union Elementary
23,71639,Red Bluff Joint Union High
23,71621,Red Bluff Union Elementary
23,70110,Redding Elementary
23,67843,Redlands Unified
23,75341,Redondo Beach Unified
23,69005,Redwood City Elementary
23,65425,Reed Union Elementary
23,71647,Reeds Creek Elementary
23,73932,Reef-Sunset Unified
23,61978,Rescue Union Elementary
23,67850,Rialto Unified
23,71654,Richfield Elementary
23,72082,Richgrove Elementary
23,63578,Richland Union Elementary
23,64170,Richmond Elementary
23,67868,Rim of the World Unified
23,70896,Rincon Valley Union Elementary
23,73544,Rio Bravo-Greeley Union Elementary
23,63008,Rio Dell Elementary
23,72561,Rio Elementary
23,68650,Ripon Unified
23,67413,River Delta Joint Unified
23,75556,Riverbank Unified
23,75408,Riverdale Joint Unified
23,10330,Riverside County Office of Education
23,67215,Riverside Unified
23,71233,Roberts Ferry Union Elementary
23,67421,Robla Elementary
23,72090,Rockford Elementary
23,75085,Rocklin Unified
23,67231,Romoland Elementary
23,63750,Rosedale Union Elementary
23,70904,Roseland
23,64931,Rosemead Elementary
23,66910,Roseville City Elementary
23,66928,Roseville Joint Union High
23,65433,Ross Elementary
23,75002,Ross Valley Elementary
23,63305,Round Valley Joint Elementary
23,65607,Round Valley Unified
23,73452,Rowland Unified
23,76471,SBC - High Tech High
23,76968,SBE - Academia Avance Charter
23,77172,SBE - Baypoint Preparatory Academy San Diego
23,77164,SBE - College Preparatory Middle
23,77099,SBE - Grossmont Secondary
23,77354,SBE - John Henry High
23,77131,SBE - KIPP Bayview Elementary
23,77149,SBE - KIPP Navigate College Prep
23,77180,SBE - Latitude 37.8 High
23,77289,SBE - Los Angeles College Prep Academy
23,76893,SBE - Magnolia Science Academy Santa Ana
23,75663,SBE - New West Charter
23,77214,SBE - Olive Grove Charter - Buellton
23,77206,SBE - Olive Grove Charter - Lompoc
23,77198,SBE - Olive Grove Charter - Orcutt/Santa Maria
23,77222,SBE - Olive Grove Charter - Santa Barbara
23,77115,SBE - Perseverance Preparatory
23,77107,SBE - Sweetwater Secondary
23,76927,SBE - The New School of San Francisco
23,77156,SBE - Vista Springs Charter
23,77248,SBE - Watsonville Prep
23,67439,Sacramento City Unified
23,10348,Sacramento County Office of Education
23,73635,Saddleback Valley Unified
23,66290,Saint Helena Unified
23,71266,Salida Union Elementary
23,66142,Salinas City Elementary
23,66159,Salinas Union High
23,66167,San Antonio Union Elementary
23,66175,San Ardo Union Elementary
23,10355,San Benito County Office of Education
23,67538,San Benito High
23,67876,San Bernardino City Unified
23,10363,San Bernardino County Office of Education
23,69013,San Bruno Park Elementary
23,69021,San Carlos Elementary
23,10371,San Diego County Office of Education
23,68338,San Diego Unified
23,68346,San Dieguito Union High
23,10389,San Francisco County Office of Education
23,68478,San Francisco Unified
23,75291,San Gabriel Unified
23,67249,San Jacinto Unified
23,10397,San Joaquin County Office of Education
23,69666,San Jose Unified
23,67447,San Juan Unified
23,61291,San Leandro Unified
23,61309,San Lorenzo Unified
23,69807,San Lorenzo Valley Unified
23,66183,San Lucas Union Elementary
23,68809,San Luis Coastal Unified
23,10405,San Luis Obispo County Office of Education
23,73791,San Marcos Unified
23,64964,San Marino Unified
23,10413,San Mateo County Office of Education
23,69047,San Mateo Union High
23,69039,San Mateo-Foster City
23,68825,San Miguel Joint Union
23,68353,San Pasqual Union Elementary
23,63214,San Pasqual Valley Unified
23,65458,San Rafael City Elementary
23,65466,San Rafael City High
23,61804,San Ramon Valley Unified
23,68379,San Ysidro Elementary
23,62414,Sanger Unified
23,66670,Santa Ana Unified
23,10421,Santa Barbara County Office of Education
23,76786,Santa Barbara Unified
23,10439,Santa Clara County Office of Education
23,72579,Santa Clara Elementary
23,69674,Santa Clara Unified
23,69815,Santa Cruz City Elementary
23,69823,Santa Cruz City High
23,10447,Santa Cruz County Office of Education
23,69310,Santa Maria Joint Union High
23,69120,Santa Maria-Bonita
23,64980,Santa Monica-Malibu Unified
23,76828,Santa Paula Unified
23,66191,Santa Rita Union Elementary
23,70912,Santa Rosa Elementary
23,70920,Santa Rosa High
23,69328,Santa Ynez Valley Union High
23,68361,Santee
23,69682,Saratoga Union Elementary
23,72108,Saucelito Elementary
23,64998,Saugus Union
23,65474,Sausalito Marin City
23,66696,Savanna Elementary
23,63024,Scotia Union Elementary
23,76455,Scott Valley Unified
23,75432,Scotts Valley Unified
23,70938,Sebastopol Union Elementary
23,63222,Seeley Union Elementary
23,70458,Seiad Elementary
23,62430,Selma Unified
23,63768,Semitropic Elementary
23,72116,Sequoia Union Elementary
23,69062,Sequoia Union High
23,64188,Shaffer Union Elementary
23,68833,Shandon Joint Unified
23,10454,Shasta County Office of Education
23,70128,Shasta Union Elementary
23,70136,Shasta Union High
23,71274,Shiloh Elementary
23,73361,Shoreline Unified
23,10462,Sierra County Office of Education
23,73742,Sierra Sands Unified
23,75275,Sierra Unified
23,70177,Sierra-Plumas Joint Unified
23,61986,Silver Fork Elementary
23,73890,Silver Valley Unified
23,72603,Simi Valley Unified
23,10470,Siskiyou County Office of Education
23,70466,Siskiyou Union High
23,65839,Snelling-Merced Falls Union Elementary
23,73957,Snowline Joint Unified
23,68387,Solana Beach Elementary
23,10488,Solano County Office of Education
23,75440,Soledad Unified
23,69336,Solvang Elementary
23,72611,Somis Union
23,10496,Sonoma County Office of Education
23,70953,Sonoma Valley Unified
23,72371,Sonora Elementary
