year,county_code,district_code,school_code,charter_num,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,charter_dummy,school_type_num,ed_option_type_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
24,09,61952,0000000,,1204,720,5,0,53,0,526,720,137,747,,,,,,,,1,09619520000000
24,09,61960,0000000,,575,270,5,0,31,0,258,296,9,299,,,,,,,,1,09619600000000
24,09,61978,0000000,,3512,511,9,0,35,0,454,574,136,642,,,,,,,,1,09619780000000
24,09,61986,0000000,,16,9,0,0,0,0,9,9,0,9,,,,,,,,1,09619860000000
24,09,73783,0121566,1176,242,94,1,0,9,0,91,101,0,101,1,12,10,2,0,14,12,1,09737830121566
24,09,73783,0000000,,1018,420,6,0,65,0,335,449,16,457,,,,,,,,1,09737830000000
24,10,10108,0119628,1085,550,39,3,0,67,0,276,337,83,385,1,12,10,1,1,14,12,1,10101080119628
24,10,10108,0136291,1850,247,117,0,0,2,0,103,119,12,126,1,7,10,1,1,9,12,1,10101080136291
24,10,10108,0140186,2101,268,148,0,0,0,0,100,161,83,188,1,6,10,1,1,14,8,1,10101080140186
24,10,10108,0109991,0746,1580,1297,27,0,34,6,1067,1433,190,1438,1,12,10,1,1,14,12,1,10101080109991
24,10,10108,6085112,0195,420,91,7,0,0,13,344,367,92,377,1,6,10,1,1,14,6,1,10101086085112
24,10,10108,0111682,0787,52,32,0,0,0,0,9,32,0,32,1,12,10,1,1,14,12,1,10101080111682
24,10,10108,0127514,1503,306,33,2,0,11,0,204,219,13,221,1,6,10,1,1,14,8,1,10101080127514
24,10,10108,0000000,,706,605,14,0,15,7,324,612,126,622,,,,,,,,1,10101080000000
24,10,61994,0000000,,176,138,0,0,0,3,115,138,46,143,,,,,,,,1,10619940000000
24,10,62026,0000000,,26,9,0,0,1,0,5,9,0,9,,,,,,,,1,10620260000000
24,10,62042,0000000,,100,78,0,0,1,0,63,85,49,90,,,,,,,,1,10620420000000
24,10,62109,0000000,,240,13,0,0,0,0,38,50,5,52,,,,,,,,1,10621090000000
24,10,62117,0118018,1006,667,266,1,0,1,0,259,272,14,278,1,12,10,2,0,14,12,1,10621170118018
24,10,62117,0000000,,42624,19412,200,15,38,40,12983,19742,2062,20225,,,,,,,,1,10621170000000
24,10,62125,0000000,,4379,3199,18,0,77,103,2594,3794,1756,3860,,,,,,,,1,10621250000000
24,10,62158,0000000,,2523,1859,5,0,12,57,1328,2038,420,2070,,,,,,,,1,10621580000000
24,10,62166,0133942,1792,296,249,2,0,77,0,204,249,68,257,1,6,10,1,1,14,6,1,10621660133942
24,10,62166,0140806,2115,227,204,3,0,43,0,166,204,36,205,1,7,10,1,1,7,12,1,10621660140806
24,10,62166,0106740,0662,347,263,3,0,47,0,228,265,48,277,1,6,10,1,1,14,6,1,10621660106740
24,10,62166,1030840,0378,333,267,10,0,7,0,248,305,27,305,1,7,10,1,1,7,12,1,10621661030840
24,10,62166,0140038,2099,335,87,0,0,1,0,103,138,8,139,1,12,10,1,1,14,12,1,10621660140038
24,10,62166,0140764,2113,319,266,6,0,4,0,233,280,5,280,1,6,10,1,1,14,8,1,10621660140764
24,10,62166,0121533,1172,322,137,1,0,0,0,99,143,28,149,1,6,10,2,0,14,5,1,10621660121533
24,10,62166,1030642,0149,209,44,7,0,17,0,165,192,28,194,1,7,10,1,1,9,12,1,10621661030642
24,10,62166,0114355,0898,362,0,2,0,2,0,218,221,25,229,1,12,10,1,1,14,12,1,10621660114355
24,10,62166,0114553,0890,484,28,0,0,1,0,97,103,3,105,1,7,10,1,1,9,12,1,10621660114553
24,10,62166,0000000,,68213,59294,650,0,372,1070,45649,60130,14060,60712,,,,,,,,1,10621660000000
24,10,62240,0000000,,2150,1532,7,0,95,0,972,1551,222,1566,,,,,,,,1,10622400000000
24,10,62257,0000000,,1227,821,5,0,22,0,461,822,99,825,,,,,,,,1,10622570000000
24,10,62265,0116640,1074,154,120,0,0,3,1,94,129,14,131,1,12,10,2,0,14,12,1,10622650116640
24,10,62265,0126292,1513,247,166,1,0,1,4,113,179,7,179,1,7,10,2,0,9,12,1,10622650126292
24,10,62265,0000000,,9254,7473,28,0,90,347,6080,8159,2554,8253,,,,,,,,1,10622650000000
24,10,62281,0000000,,597,443,1,0,10,7,319,454,169,484,,,,,,,,1,10622810000000
24,10,62323,0000000,,152,15,0,0,3,16,103,117,79,130,,,,,,,,1,10623230000000
24,10,62331,0137661,1492,1432,626,4,0,29,0,905,1114,157,1137,1,12,10,1,1,14,12,1,10623310137661
24,10,62331,0000000,,248,163,2,1,0,5,171,197,75,209,,,,,,,,1,10623310000000
24,10,62356,0000000,,345,308,2,0,0,0,203,309,187,313,,,,,,,,1,10623560000000
24,10,62364,0000000,,3226,2186,4,0,179,398,2278,2967,1362,3065,,,,,,,,1,10623640000000
24,10,62372,0000000,,68,20,0,0,2,0,19,24,0,24,,,,,,,,1,10623720000000
24,10,62380,0136499,1905,307,279,3,0,5,0,215,293,64,295,1,12,10,1,1,14,12,1,10623800136499
24,10,62380,0000000,,246,218,10,0,3,31,171,245,148,246,,,,,,,,1,10623800000000
24,10,62414,6117865,0258,596,80,0,0,0,0,116,185,25,197,1,6,10,2,0,14,8,1,10624146117865
24,10,62414,6117873,0283,619,161,0,0,0,1,276,423,82,440,1,6,10,2,0,14,8,1,10624146117873
24,10,62414,0000000,,12035,3002,81,0,19,165,5971,8542,1640,8730,,,,,,,,1,10624140000000
24,10,62430,0000000,,5974,5410,45,0,84,274,3905,5479,1719,5532,,,,,,,,1,10624300000000
24,10,62513,0000000,,434,365,1,0,2,0,248,368,137,379,,,,,,,,1,10625130000000
24,10,62539,6112387,0044,172,114,2,0,0,0,126,146,30,148,1,12,10,2,0,14,12,1,10625396112387
24,10,62539,0000000,,297,132,0,0,18,20,223,259,110,273,,,,,,,,1,10625390000000
24,10,62547,0136523,1893,1252,1001,19,0,11,10,792,1105,199,1113,1,12,10,1,1,14,12,1,10625470136523
24,10,62547,0135103,1841,2697,810,1,0,55,0,948,1255,31,1265,1,12,10,1,1,14,12,1,10625470135103
24,10,62547,0000000,,122,3,1,0,0,3,70,74,76,102,,,,,,,,1,10625470000000
24,10,73809,0000000,,2193,1947,9,0,15,237,1302,2034,788,2063,,,,,,,,1,10738090000000
24,10,73965,0000000,,15955,11806,194,0,108,112,8741,12834,2210,13088,,,,,,,,1,10739650000000
24,10,73999,0000000,,5301,4395,25,0,224,183,3019,4689,1504,4740,,,,,,,,1,10739990000000
24,10,75127,0000000,,3949,3823,4,0,247,475,2939,3877,2273,3886,,,,,,,,1,10751270000000
24,10,75234,0000000,,1387,1335,9,0,29,6,917,1359,719,1370,,,,,,,,1,10752340000000
24,10,75275,0000000,,1292,606,7,0,27,0,455,607,16,613,,,,,,,,1,10752750000000
