year,district_code,district_name
20,75085,Rocklin Unified
20,67231,Romoland Elementary
20,63750,Rosedale Union Elementary
20,70904,Roseland
20,64931,Rosemead Elementary
20,66910,Roseville City Elementary
20,66928,Roseville Joint Union High
20,65433,Ross Elementary
20,75002,Ross Valley Elementary
20,63305,Round Valley Joint Elementary
20,65607,Round Valley Unified
20,73452,Rowland Unified
20,76471,SBC - High Tech High
20,76968,SBE - Academia Avance Charter
20,77032,SBE - Audeo Charter II
20,76943,SBE - Baypoint Preparatory Academy
20,77172,SBE - Baypoint Preparatory Academy San Diego
20,77081,SBE - Celerity Himalia
20,77164,SBE - College Preparatory Middle
20,77099,SBE - Grossmont Secondary
20,77131,SBE - KIPP Bayview Elementary
20,77149,SBE - KIPP Navigate College Prep
20,77180,SBE - Latitude 37.8 High
20,77289,SBE - Los Angeles College Prep Academy
20,76893,SBE - Magnolia Science Academy Santa Ana
20,77230,SBE - Mary L. Booker Leadership Academy
20,75663,SBE - New West Charter
20,76950,SBE - Olive Grove Charter
20,77214,SBE - Olive Grove Charter - Buellton
20,77206,SBE - Olive Grove Charter - Lompoc
20,77198,SBE - Olive Grove Charter - Orcutt/Santa Maria
20,77222,SBE - Olive Grove Charter - Santa Barbara
20,76919,SBE - OnePurpose
20,77115,SBE - Perseverance Preparatory
20,76992,SBE - Prepa Tec Los Angeles High
20,77024,SBE - Rocketship Futuro Academy
20,77065,SBE - Ross Valley Elementary
20,77107,SBE - Sweetwater Secondary
20,76927,SBE - The New School of San Francisco
20,75697,SBE - The School of Arts and Enterprise
20,77156,SBE - Vista Springs Charter
20,77248,SBE - Watsonville Prep
20,67439,Sacramento City Unified
20,10348,Sacramento County Office of Education
20,73635,Saddleback Valley Unified
20,66290,Saint Helena Unified
20,71266,Salida Union Elementary
20,66142,Salinas City Elementary
20,66159,Salinas Union High
20,66167,San Antonio Union Elementary
20,66175,San Ardo Union Elementary
20,10355,San Benito County Office of Education
20,67538,San Benito High
20,67876,San Bernardino City Unified
20,10363,San Bernardino County Office of Education
20,69013,San Bruno Park Elementary
20,69021,San Carlos Elementary
20,10371,San Diego County Office of Education
20,68338,San Diego Unified
20,68346,San Dieguito Union High
20,10389,San Francisco County Office of Education
20,68478,San Francisco Unified
20,75291,San Gabriel Unified
20,67249,San Jacinto Unified
20,10397,San Joaquin County Office of Education
20,69666,San Jose Unified
20,67447,San Juan Unified
20,61291,San Leandro Unified
20,61309,San Lorenzo Unified
20,69807,San Lorenzo Valley Unified
20,66183,San Lucas Union Elementary
20,68809,San Luis Coastal Unified
20,10405,San Luis Obispo County Office of Education
20,73791,San Marcos Unified
20,64964,San Marino Unified
20,10413,San Mateo County Office of Education
20,69047,San Mateo Union High
20,69039,San Mateo-Foster City
20,68825,San Miguel Joint Union
20,68353,San Pasqual Union Elementary
20,63214,San Pasqual Valley Unified
20,65458,San Rafael City Elementary
20,65466,San Rafael City High
20,61804,San Ramon Valley Unified
20,68379,San Ysidro Elementary
20,62414,Sanger Unified
20,66670,Santa Ana Unified
20,10421,Santa Barbara County Office of Education
20,76786,Santa Barbara Unified
20,10439,Santa Clara County Office of Education
20,72579,Santa Clara Elementary
20,69674,Santa Clara Unified
20,69815,Santa Cruz City Elementary
20,69823,Santa Cruz City High
20,10447,Santa Cruz County Office of Education
20,69310,Santa Maria Joint Union High
20,69120,Santa Maria-Bonita
20,64980,Santa Monica-Malibu Unified
20,76828,Santa Paula Unified
20,66191,Santa Rita Union Elementary
20,70912,Santa Rosa Elementary
20,70920,Santa Rosa High
20,69328,Santa Ynez Valley Union High
20,68361,Santee
20,69682,Saratoga Union Elementary
20,72108,Saucelito Elementary
20,64998,Saugus Union
20,65474,Sausalito Marin City
20,66696,Savanna Elementary
20,63024,Scotia Union Elementary
20,76455,Scott Valley Unified
20,75432,Scotts Valley Unified
20,70938,Sebastopol Union Elementary
20,63222,Seeley Union Elementary
20,70458,Seiad Elementary
20,62430,Selma Unified
20,63768,Semitropic Elementary
20,72116,Sequoia Union Elementary
20,69062,Sequoia Union High
20,64188,Shaffer Union Elementary
20,68833,Shandon Joint Unified
20,10454,Shasta County Office of Education
20,70128,Shasta Union Elementary
20,70136,Shasta Union High
20,71274,Shiloh Elementary
20,73361,Shoreline Unified
20,10462,Sierra County Office of Education
20,73742,Sierra Sands Unified
20,75275,Sierra Unified
20,70177,Sierra-Plumas Joint Unified
20,61986,Silver Fork Elementary
20,73890,Silver Valley Unified
20,72603,Simi Valley Unified
20,10470,Siskiyou County Office of Education
20,70466,Siskiyou Union High
20,65839,Snelling-Merced Falls Union Elementary
20,73957,Snowline Joint Unified
20,68387,Solana Beach Elementary
20,10488,Solano County Office of Education
20,75440,Soledad Unified
20,69336,Solvang Elementary
20,72611,Somis Union
20,10496,Sonoma County Office of Education
20,70953,Sonoma Valley Unified
20,72371,Sonora Elementary
20,72389,Sonora Union High
20,69849,Soquel Union Elementary
20,72397,Soulsbyville Elementary
20,68395,South Bay Union
20,63032,South Bay Union Elementary
20,63784,South Fork Union
20,66068,South Monterey County Joint Union High
20,65029,South Pasadena Unified
20,69070,South San Francisco Unified
20,65037,South Whittier Elementary
20,63040,Southern Humboldt Joint Unified
20,63776,Southern Kern Unified
20,73833,Southern Trinity Joint Unified
20,67553,Southside Elementary
20,68403,Spencer Valley Elementary
20,66225,Spreckels Union Elementary
